Serie,Baseline_RMSE,lasso_RMSE,lasso_PctGain,lasso_NFeatures
airlines,28.856466,27.157659,5.887094,10.000000
austres,24.680016,27.951760,-13.256651,2.000000
coloradoRiver,0.210362,0.182847,13.080068,20.000000
samurec,7.187309,7.023930,2.273157,1.000000
sunspot,19.222508,18.033068,6.187749,9.000000
windspeedfortaleza,0.367736,0.358070,2.628666,4.000000
