ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,10,526.563091,107.188455,22.834106,2.395989,18.043386,1.873409,3.890972,0.344531,0.266140,0.099632,0.101261,0.033867,0.975719,0.006323,83.571429,3.450328
chamados_v4_fs_mlp_ftest,austres,1mlpftest,10,12049.829395,35866.023912,56.466572,99.226764,54.113206,99.578995,0.308944,0.568391,12.737530,39.110595,0.156314,0.289264,0.922499,0.189660,87.500000,0.000000
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,10,0.022213,0.001795,0.148933,0.005959,0.119581,0.005747,15.988438,0.882219,1.483731,0.103062,0.748082,0.025747,0.831817,0.010127,65.405405,1.824185
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,10,48.622883,0.276632,6.972986,0.019825,5.688047,0.018878,19.346683,0.103205,20.673587,3.167739,17.475164,1.073457,0.280997,0.008394,59.322034,4.843624
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,10,300.161707,15.272730,17.320032,0.444985,13.933414,0.216169,35.324712,0.928543,0.333300,0.009791,0.171527,0.008404,0.958740,0.002121,73.214286,3.857584
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,10,0.184583,0.001703,0.429627,0.001986,0.374721,0.002957,13.315008,0.125079,1.061616,0.072875,0.429372,0.014989,0.899182,0.001875,56.428571,2.258770
