Serie,Baseline_RMSE,lasso_RMSE,lasso_PctGain,lasso_NFeatures
airlines,18.719077,19.616915,-4.796384,1.000000
austres,20.775953,18.852405,9.258530,1.000000
coloradoRiver,0.390382,0.327895,16.006654,1.000000
samurec,7.343398,6.951052,5.342836,1.000000
sunspot,19.915364,19.253464,3.323565,1.000000
windspeedfortaleza,0.397045,0.395886,0.291868,1.000000
