ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_arimasvr_mutualinfo,airlines,1aspct10mutualinfo,0,mutual_info,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_arimasvr_mutualinfo,austres,1aspct10mutualinfo,0,mutual_info,5,8,0;3;4;5;6,lag_8;lag_5;lag_4;lag_3;lag_2
chamados_pct10_fs_arimasvr_mutualinfo,coloradoRiver,1aspct10mutualinfo,0,mutual_info,5,67,26;36;37;48;55,lag_41;lag_31;lag_30;lag_19;lag_12
chamados_pct10_fs_arimasvr_mutualinfo,samurec,1aspct10mutualinfo,0,mutual_info,20,107,3;7;8;11;26;49;50;60;71;79;81;88;91;92;93;96;97;98;99;102,lag_104;lag_100;lag_99;lag_96;lag_81;lag_58;lag_57;lag_47;lag_36;lag_28;lag_26;lag_19;lag_16;lag_15;lag_14;lag_11;lag_10;lag_9;lag_8;lag_5
chamados_pct10_fs_arimasvr_mutualinfo,sunspot,1aspct10mutualinfo,0,mutual_info,20,26,1;2;3;4;5;6;7;8;10;11;12;14;15;16;17;19;21;22;23;25,lag_25;lag_24;lag_23;lag_22;lag_21;lag_20;lag_19;lag_18;lag_16;lag_15;lag_14;lag_12;lag_11;lag_10;lag_9;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_arimasvr_mutualinfo,windspeedfortaleza,1aspct10mutualinfo,0,mutual_info,9,13,0;4;6;7;8;9;10;11;12,lag_13;lag_9;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
