ExperimentID,Serie,Modelo,Strategy,N_Features_Selected_mean,N_Features_Selected_std,N_Repeticoes,N_Features_Total
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,mutual_info,5.000000,0.000000,10,13
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,mutual_info,1.000000,0.000000,10,8
chamados_pct10_fs_mlp_mutualinfo,coloradoRiver,1mlppct10mutualinfo,mutual_info,9.000000,0.000000,10,67
chamados_pct10_fs_mlp_mutualinfo,samurec,1mlppct10mutualinfo,mutual_info,20.000000,0.000000,10,107
chamados_pct10_fs_mlp_mutualinfo,sunspot,1mlppct10mutualinfo,mutual_info,15.000000,0.000000,10,26
chamados_pct10_fs_mlp_mutualinfo,windspeedfortaleza,1mlppct10mutualinfo,mutual_info,13.000000,0.000000,10,13
