Serie,Baseline_RMSE,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
airlines,28.856466,21.136515,26.752933,1.400000
austres,24.680016,29.503274,-19.543170,4.500000
coloradoRiver,0.210362,0.186117,11.525504,20.700000
samurec,7.187309,6.998359,2.628942,82.900000
sunspot,19.222508,17.925289,6.748441,4.900000
windspeedfortaleza,0.367736,0.359650,2.198964,11.000000
