Serie,Baseline_RMSE,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures
airlines,18.719077,19.519340,-4.275124,4.200000
austres,20.775953,18.689441,10.042919,2.700000
coloradoRiver,0.390382,0.391958,-0.403657,16.200000
samurec,7.343398,7.319547,0.324793,41.700000
sunspot,19.915364,18.772949,5.736351,10.100000
windspeedfortaleza,0.397045,0.449977,-13.331590,5.200000
