Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures
airlines,19.093386,22.114101,-15.820744,1.000000
austres,21.078692,21.078692,0.000000,8.000000
coloradoRiver,0.168109,0.175672,-4.498380,20.000000
samurec,7.295453,8.371311,-14.746974,9.000000
sunspot,21.987478,19.260633,12.401809,9.000000
windspeedfortaleza,0.358687,0.417626,-16.431889,9.000000
