Serie,Baseline_RMSE,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures
airlines,19.093386,22.351401,-17.063581,9.000000
austres,21.078692,17.389361,17.502653,5.000000
coloradoRiver,0.168109,0.173642,-3.290915,20.000000
samurec,7.295453,8.282873,-13.534744,5.000000
sunspot,21.987478,20.582074,6.391835,5.000000
windspeedfortaleza,0.358687,0.374959,-4.536574,5.000000
