ExperimentID,Serie,Modelo,Strategy,N_Features_Selected_mean,N_Features_Selected_std,N_Repeticoes,N_Features_Total
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,rf_embedded,1.200000,0.421637,10,20
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,rf_embedded,1.000000,0.000000,10,1
chamados_v4_fs_mlp_rfembedded,coloradoRiver,1mlprfembedded,rf_embedded,2.000000,0.000000,10,16
chamados_v4_fs_mlp_rfembedded,samurec,1mlprfembedded,rf_embedded,6.100000,0.875595,10,15
chamados_v4_fs_mlp_rfembedded,sunspot,1mlprfembedded,rf_embedded,1.000000,0.000000,10,9
chamados_v4_fs_mlp_rfembedded,windspeedfortaleza,1mlprfembedded,rf_embedded,3.600000,0.516398,10,20
