Familia,Serie,Metodo_FS,RMSE_Baseline_auto,RMSE_Baseline_pct10,RMSE_auto,RMSE_pct10,RMSE_Diff_pct10_menos_auto,Janela_Vencedora,PctGain_auto,PctGain_pct10,NFeatures_auto,NFeatures_pct10,Trivial_auto,Trivial_pct10
ARIMA-MLP,coloradoRiver,ftest,0.328696,0.390382,0.327025,0.327895,0.000870,auto,0.508309,16.006654,15.000000,1.000000,False,False
ARIMA-MLP,coloradoRiver,mutualinfo,0.328696,0.390382,0.330554,0.336851,0.006297,auto,-0.565389,13.712687,16.000000,15.000000,False,False
ARIMA-MLP,coloradoRiver,rfembedded,0.328696,0.390382,0.328393,0.391958,0.063565,auto,0.092052,-0.403657,4.000000,16.200000,False,False
ARIMA-MLP,coloradoRiver,lasso,0.328696,0.390382,0.326514,0.327895,0.001381,auto,0.663808,16.006654,1.000000,1.000000,False,False
ARIMA-MLP,coloradoRiver,rfecv,0.328696,0.390382,0.325176,0.401909,0.076733,auto,1.070787,-2.952750,12.100000,49.900000,False,False
ARIMA-MLP,samurec,sem_FS,6.957531,7.343398,6.957531,7.343398,0.385867,auto,0.000000,0.000000,15.000000,107.000000,False,False
ARIMA-MLP,samurec,ftest,6.957531,7.343398,6.950092,7.139393,0.189301,auto,0.106914,2.778063,5.000000,15.000000,False,False
ARIMA-MLP,samurec,mutualinfo,6.957531,7.343398,6.952427,6.894512,-0.057915,pct10,0.073351,6.112775,9.000000,20.000000,False,False
ARIMA-MLP,samurec,rfembedded,6.957531,7.343398,6.940256,7.319547,0.379291,auto,0.248291,0.324793,7.500000,41.700000,False,False
ARIMA-MLP,samurec,lasso,6.957531,7.343398,6.963461,6.951052,-0.012409,pct10,-0.085243,5.342836,1.000000,1.000000,False,False
ARIMA-MLP,samurec,rfecv,6.957531,7.343398,6.944315,7.327624,0.383309,auto,0.189946,0.214797,14.600000,86.200000,False,False
ARIMA-MLP,sunspot,sem_FS,19.072983,19.915364,19.072983,19.915364,0.842381,auto,0.000000,0.000000,9.000000,26.000000,False,False
ARIMA-MLP,sunspot,ftest,19.072983,19.915364,19.115968,18.358352,-0.757616,pct10,-0.225369,7.818145,5.000000,9.000000,False,False
ARIMA-MLP,sunspot,mutualinfo,19.072983,19.915364,19.116507,18.972365,-0.144142,pct10,-0.228197,4.735032,9.000000,15.000000,False,False
ARIMA-MLP,sunspot,rfembedded,19.072983,19.915364,18.921636,18.772949,-0.148687,pct10,0.793519,5.736351,4.000000,10.100000,False,False
ARIMA-MLP,sunspot,lasso,19.072983,19.915364,18.949572,19.253464,0.303892,auto,0.647047,3.323565,2.000000,1.000000,False,False
ARIMA-MLP,sunspot,rfecv,19.072983,19.915364,19.010646,19.760200,0.749554,auto,0.326834,0.779120,5.300000,20.500000,False,False
ARIMA-MLP,windspeedfortaleza,sem_FS,0.455899,0.397045,0.455899,0.397045,-0.058854,pct10,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-MLP,windspeedfortaleza,ftest,0.455899,0.397045,0.434925,0.409975,-0.024950,pct10,4.600429,-3.256693,5.000000,1.000000,False,False
ARIMA-MLP,windspeedfortaleza,mutualinfo,0.455899,0.397045,0.451612,0.397045,-0.054567,pct10,0.940357,0.000000,20.000000,13.000000,False,False
ARIMA-MLP,windspeedfortaleza,rfembedded,0.455899,0.397045,0.450657,0.449977,-0.000680,pct10,1.149788,-13.331590,8.400000,5.200000,False,False
ARIMA-MLP,windspeedfortaleza,lasso,0.455899,0.397045,0.399679,0.395886,-0.003793,pct10,12.331679,0.291868,1.000000,1.000000,False,False
ARIMA-MLP,windspeedfortaleza,rfecv,0.455899,0.397045,0.435670,0.404283,-0.031387,pct10,4.437117,-1.822961,14.100000,7.400000,False,False
ARIMA-SVR,airlines,sem_FS,15.166544,20.035202,15.166544,20.035202,4.868658,auto,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-SVR,airlines,ftest,15.166544,20.035202,15.166544,23.333079,8.166535,auto,0.000000,-16.460414,20.000000,9.000000,False,False
ARIMA-SVR,airlines,mutualinfo,15.166544,20.035202,15.166544,20.035202,4.868658,auto,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-SVR,airlines,rfembedded,15.166544,20.035202,19.848089,20.689996,0.841907,auto,-30.867579,-3.268217,8.000000,4.000000,False,False
ARIMA-SVR,airlines,lasso,15.166544,20.035202,19.286125,19.722575,0.436450,auto,-27.162288,1.560389,1.000000,1.000000,False,False
ARIMA-SVR,airlines,rfecv,15.166544,20.035202,14.387693,21.074936,6.687243,auto,5.135324,-5.189537,17.000000,12.000000,False,False
ARIMA-SVR,austres,sem_FS,18.911936,18.876899,18.911936,18.876899,-0.035037,pct10,0.000000,0.000000,1.000000,8.000000,True,True
ARIMA-SVR,austres,ftest,18.911936,18.876899,18.911936,21.265447,2.353511,auto,0.000000,-12.653290,1.000000,5.000000,True,True
ARIMA-SVR,austres,mutualinfo,18.911936,18.876899,18.911936,17.481562,-1.430374,pct10,0.000000,7.391771,1.000000,5.000000,True,True
ARIMA-SVR,austres,rfembedded,18.911936,18.876899,18.911936,20.321269,1.409333,auto,0.000000,-7.651524,1.000000,3.000000,True,True
ARIMA-SVR,austres,lasso,18.911936,18.876899,18.911936,18.717792,-0.194144,pct10,0.000000,0.842862,1.000000,1.000000,True,True
ARIMA-SVR,austres,rfecv,18.911936,18.876899,18.911936,23.832429,4.920493,auto,0.000000,-26.251827,1.000000,7.000000,True,True
ARIMA-SVR,coloradoRiver,sem_FS,0.336957,0.445994,0.336957,0.445994,0.109037,auto,0.000000,0.000000,16.000000,67.000000,False,False
ARIMA-SVR,coloradoRiver,ftest,0.336957,0.445994,0.319876,0.324818,0.004942,auto,5.069061,27.169881,9.000000,1.000000,False,False
ARIMA-SVR,coloradoRiver,mutualinfo,0.336957,0.445994,0.298722,0.298708,-0.000014,pct10,11.347128,33.024142,1.000000,5.000000,False,False
ARIMA-SVR,coloradoRiver,rfembedded,0.336957,0.445994,0.297139,0.368395,0.071256,auto,11.816896,17.399151,4.000000,17.000000,False,False
ARIMA-SVR,coloradoRiver,lasso,0.336957,0.445994,0.328528,0.324818,-0.003710,pct10,2.501384,27.169881,1.000000,1.000000,False,False
ARIMA-SVR,coloradoRiver,rfecv,0.336957,0.445994,0.313057,0.388774,0.075717,auto,7.092957,12.829720,11.000000,45.000000,False,False
ARIMA-SVR,samurec,sem_FS,7.549767,7.264780,7.549767,7.264780,-0.284987,pct10,0.000000,0.000000,15.000000,107.000000,False,False
ARIMA-SVR,samurec,ftest,7.549767,7.264780,7.549767,7.166828,-0.382939,pct10,0.000000,1.348305,15.000000,15.000000,False,False
ARIMA-SVR,samurec,mutualinfo,7.549767,7.264780,7.549767,7.029611,-0.520156,pct10,0.000000,3.237111,15.000000,20.000000,False,False
ARIMA-SVR,samurec,rfembedded,7.549767,7.264780,7.152692,7.303963,0.151271,auto,5.259440,-0.539355,7.000000,40.000000,False,False
ARIMA-SVR,samurec,lasso,7.549767,7.264780,6.944713,7.019826,0.075113,auto,8.014218,3.371794,1.000000,1.000000,False,False
ARIMA-SVR,samurec,rfecv,7.549767,7.264780,7.682947,7.270354,-0.412593,pct10,-1.764017,-0.076733,14.000000,88.000000,False,False
ARIMA-SVR,sunspot,sem_FS,19.265001,21.135328,19.265001,21.135328,1.870327,auto,0.000000,0.000000,9.000000,26.000000,False,False
ARIMA-SVR,sunspot,ftest,19.265001,21.135328,20.285784,19.138347,-1.147437,pct10,-5.298640,9.448543,1.000000,15.000000,False,False
ARIMA-SVR,sunspot,mutualinfo,19.265001,21.135328,19.265001,20.752916,1.487915,auto,0.000000,1.809348,9.000000,20.000000,False,False
ARIMA-SVR,sunspot,rfembedded,19.265001,21.135328,20.480786,18.387006,-2.093780,pct10,-6.310851,13.003449,4.000000,9.000000,False,False
ARIMA-SVR,sunspot,lasso,19.265001,21.135328,21.060600,18.971060,-2.089540,pct10,-9.320523,10.240047,2.000000,1.000000,False,False
ARIMA-SVR,sunspot,rfecv,19.265001,21.135328,19.433213,23.919068,4.485855,auto,-0.873151,-13.171028,6.000000,18.000000,False,False
ARIMA-SVR,windspeedfortaleza,sem_FS,0.482622,0.441626,0.482622,0.441626,-0.040996,pct10,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-SVR,windspeedfortaleza,ftest,0.482622,0.441626,0.482622,0.441626,-0.040996,pct10,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-SVR,windspeedfortaleza,mutualinfo,0.482622,0.441626,0.542709,0.579250,0.036541,auto,-12.450144,-31.163070,9.000000,9.000000,False,False
ARIMA-SVR,windspeedfortaleza,rfembedded,0.482622,0.441626,0.632192,0.535303,-0.096889,pct10,-30.991244,-21.211748,9.000000,5.000000,False,False
ARIMA-SVR,windspeedfortaleza,lasso,0.482622,0.441626,0.414850,0.397133,-0.017717,pct10,14.042412,10.074915,1.000000,1.000000,False,False
ARIMA-SVR,windspeedfortaleza,rfecv,0.482622,0.441626,0.453583,0.651702,0.198119,auto,6.016917,-47.568612,17.000000,8.000000,False,False
