Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
MLP,coloradoRiver,lasso,results/chamados_pct10_fs_mlp_lasso/metrics.csv,data/result/chamados_pct10_fs_mlp_lasso/,results/chamados_pct10_fs_mlp_lasso/selected_features.csv,20.000000,False,0.045050,0.033456,0.210362,0.182847,0.162060,0.138713,20.073847,17.051228,1.212716,0.948863,0.697075,0.645932,0.760135,0.801117,62.837838,63.783784,13.080068
MLP,coloradoRiver,rfecv,results/chamados_pct10_fs_mlp_rfecv/metrics.csv,data/result/chamados_pct10_fs_mlp_rfecv/,results/chamados_pct10_fs_mlp_rfecv/selected_features.csv,20.700000,False,0.045050,0.034741,0.210362,0.186117,0.162060,0.149052,20.073847,18.127462,1.212716,1.085411,0.697075,0.630041,0.760135,0.800069,62.837838,59.729730,11.525504
MLP,samurec,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,107.000000,False,51.658002,51.658002,7.187309,7.187309,5.981737,5.981737,20.499434,20.499434,4.663524,4.663524,7.613443,7.613443,0.340316,0.340316,55.084746,55.084746,0.000000
MLP,samurec,ftest,results/chamados_pct10_fs_mlp_ftest/metrics.csv,data/result/chamados_pct10_fs_mlp_ftest/,results/chamados_pct10_fs_mlp_ftest/selected_features.csv,20.000000,False,51.658002,46.203658,7.187309,6.797277,5.981737,5.556994,20.499434,19.044094,4.663524,8.844418,7.613443,13.064494,0.340316,0.346914,55.084746,58.898305,5.426676
MLP,samurec,mutualinfo,results/chamados_pct10_fs_mlp_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_mlp_mutualinfo/,results/chamados_pct10_fs_mlp_mutualinfo/selected_features.csv,20.000000,False,51.658002,49.556271,7.187309,7.039127,5.981737,5.689916,20.499434,19.586793,4.663524,16.580255,7.613443,18.680306,0.340316,0.240693,55.084746,51.779661,2.061720
MLP,samurec,rfembedded,results/chamados_pct10_fs_mlp_rfembedded/metrics.csv,data/result/chamados_pct10_fs_mlp_rfembedded/,results/chamados_pct10_fs_mlp_rfembedded/selected_features.csv,39.900000,False,51.658002,48.835538,7.187309,6.987987,5.981737,5.654712,20.499434,19.312024,4.663524,10.185568,7.613443,12.360169,0.340316,0.311441,55.084746,56.016949,2.773247
MLP,samurec,lasso,results/chamados_pct10_fs_mlp_lasso/metrics.csv,data/result/chamados_pct10_fs_mlp_lasso/,results/chamados_pct10_fs_mlp_lasso/selected_features.csv,1.000000,False,51.658002,49.335596,7.187309,7.023930,5.981737,5.569914,20.499434,18.584085,4.663524,21.811397,7.613443,13.921282,0.340316,0.316169,55.084746,55.084746,2.273157
MLP,samurec,rfecv,results/chamados_pct10_fs_mlp_rfecv/metrics.csv,data/result/chamados_pct10_fs_mlp_rfecv/,results/chamados_pct10_fs_mlp_rfecv/selected_features.csv,82.900000,False,51.658002,48.995738,7.187309,6.998359,5.981737,5.794184,20.499434,19.864553,4.663524,5.869011,7.613443,9.390962,0.340316,0.341467,55.084746,57.033898,2.628942
MLP,sunspot,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,26.000000,False,370.933536,370.933536,19.222508,19.222508,15.956098,15.956098,38.168940,38.168940,0.413357,0.413357,0.201076,0.201076,0.949751,0.949751,72.857143,72.857143,0.000000
MLP,sunspot,ftest,results/chamados_pct10_fs_mlp_ftest/metrics.csv,data/result/chamados_pct10_fs_mlp_ftest/,results/chamados_pct10_fs_mlp_ftest/selected_features.csv,9.000000,False,370.933536,291.471228,19.222508,17.071655,15.956098,13.292740,38.168940,33.459311,0.413357,0.309282,0.201076,0.165731,0.949751,0.960072,72.857143,67.857143,11.189246
