ExperimentID,Serie,Modelo,Strategy,N_Features_Selected_mean,N_Features_Selected_std,N_Repeticoes,N_Features_Total
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,rf_embedded,1.300000,0.483046,10,13
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,rf_embedded,4.000000,0.666667,10,8
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,rf_embedded,6.200000,0.421637,10,67
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,rf_embedded,39.900000,2.766867,10,107
chamados_pct10_fs_mlp_rfembedded,sunspot,1mlppct10rfembedded,rf_embedded,3.000000,0.000000,10,26
chamados_pct10_fs_mlp_rfembedded,windspeedfortaleza,1mlppct10rfembedded,rf_embedded,3.000000,0.000000,10,13
