ExperimentID,Serie,Modelo,Strategy,N_Features_Selected_mean,N_Features_Selected_std,N_Repeticoes,N_Features_Total
chamados_v4_fs_svr_rfecv,airlines,1svrrfecv,rfecv,2.000000,,1,20
chamados_v4_fs_svr_rfecv,austres,1svrrfecv,rfecv,1.000000,,1,1
chamados_v4_fs_svr_rfecv,coloradoRiver,1svrrfecv,rfecv,16.000000,,1,16
chamados_v4_fs_svr_rfecv,samurec,1svrrfecv,rfecv,11.000000,,1,15
chamados_v4_fs_svr_rfecv,sunspot,1svrrfecv,rfecv,7.000000,,1,9
chamados_v4_fs_svr_rfecv,windspeedfortaleza,1svrrfecv,rfecv,18.000000,,1,20
