Serie,Baseline_RMSE,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
airlines,20.035202,21.074936,-5.189537,12.000000
austres,18.876899,23.832429,-26.251827,7.000000
coloradoRiver,0.445994,0.388774,12.829720,45.000000
samurec,7.264780,7.270354,-0.076733,88.000000
sunspot,21.135328,23.919068,-13.171028,18.000000
windspeedfortaleza,0.441626,0.651702,-47.568612,8.000000
