Serie,Baseline_RMSE,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures
airlines,18.719077,18.736009,-0.090457,5.000000
austres,20.775953,20.775953,0.000000,8.000000
coloradoRiver,0.390382,0.336851,13.712687,15.000000
samurec,7.343398,6.894512,6.112775,20.000000
sunspot,19.915364,18.972365,4.735032,15.000000
windspeedfortaleza,0.397045,0.397045,0.000000,13.000000
