Serie,Baseline_RMSE,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures
airlines,19.093386,22.114101,-15.820744,1.000000
austres,21.078692,16.844431,20.087874,3.000000
coloradoRiver,0.168109,0.176090,-4.747028,14.000000
samurec,7.295453,7.693920,-5.461866,10.000000
sunspot,21.987478,22.356262,-1.677249,3.000000
windspeedfortaleza,0.358687,0.429983,-19.877176,3.000000
