ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_svr_ftest,airlines,1svrftest,1,375.843583,,19.386686,,13.856390,,3.111161,,0.118322,,0.053837,,0.985155,,78.571429,
chamados_v4_fs_svr_ftest,austres,1svrftest,1,193.564723,,13.912754,,10.314447,,0.058814,,0.081070,,0.018572,,0.995194,,87.500000,
chamados_v4_fs_svr_ftest,coloradoRiver,1svrftest,1,0.019750,,0.140534,,0.114135,,14.270529,,0.579074,,0.543095,,0.869125,,60.810811,
chamados_v4_fs_svr_ftest,sunspot,1svrftest,1,640.081539,,25.299833,,19.416696,,39.651643,,0.693393,,0.365288,,0.910635,,82.142857,
