Serie,Baseline_RMSE,lasso_RMSE,lasso_PctGain,lasso_NFeatures
airlines,20.035202,19.722575,1.560389,1.000000
austres,18.876899,18.717792,0.842862,1.000000
coloradoRiver,0.445994,0.324818,27.169881,1.000000
samurec,7.264780,7.019826,3.371794,1.000000
sunspot,21.135328,18.971060,10.240047,1.000000
windspeedfortaleza,0.441626,0.397133,10.074915,1.000000
