Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures
airlines,20.035202,23.333079,-16.460414,9.000000
austres,18.876899,21.265447,-12.653290,5.000000
coloradoRiver,0.445994,0.324818,27.169881,1.000000
samurec,7.264780,7.166828,1.348305,15.000000
sunspot,21.135328,19.138347,9.448543,15.000000
windspeedfortaleza,0.441626,0.441626,0.000000,13.000000
