Serie,Baseline_RMSE,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
airlines,19.093386,22.114101,-15.820744,1.000000
austres,21.078692,18.083948,14.207448,6.000000
coloradoRiver,0.168109,0.179444,-6.742180,14.000000
samurec,7.295453,7.930621,-8.706364,91.000000
sunspot,21.987478,19.620291,10.766068,4.000000
windspeedfortaleza,0.358687,0.355406,0.914711,11.000000
