Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures
airlines,18.719077,18.719077,0.000000,13.000000
austres,20.775953,20.775953,0.000000,8.000000
coloradoRiver,0.390382,0.327895,16.006654,1.000000
samurec,7.343398,7.139393,2.778063,15.000000
sunspot,19.915364,18.358352,7.818145,9.000000
windspeedfortaleza,0.397045,0.409975,-3.256693,1.000000
