Serie,Baseline_RMSE,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures
airlines,20.035202,20.689996,-3.268217,4.000000
austres,18.876899,20.321269,-7.651524,3.000000
coloradoRiver,0.445994,0.368395,17.399151,17.000000
samurec,7.264780,7.303963,-0.539355,40.000000
sunspot,21.135328,18.387006,13.003449,9.000000
windspeedfortaleza,0.441626,0.535303,-21.211748,5.000000
